id,autor,titulo,editorial,anio,clasificacion
3535,"Gibson, A. F., R. E. Burgesss & F. R. S. C.","Progress in semiconductors Vol. II (avances en
semiconductores V.2)",Alfaomega,1964,TK7872.S4 P72 1964 V.2
3536,"Calogero, F.",Variable Phase Approach to Potential Scattering (Las matemáticas en la ciencia y la ingeniería),Academic Press,1967,QC721 C35 1967
3537,"Newton, R. G.",Scattering theory of waves and particles (Dispersión de la teoría de las ondas y partículas),McGraw-Hill,1966,QC721 N43 1966
3538,"Graham, C. D. & J. J. Rhyne","Magnetism and magnetic materials (El magnetismo y los
materiales magnéticos)","American Intitute of
Physics",1973,QC761 C63 1972
3539,"Vook, F. L.","Radiation Effects in semiconductors (Efectos de la
radiación en los semiconductores)",Plenum Press,1968,QC612.S4 S32 1967
3540,M. A. Omar,"Elementary Solid State Physics: Principles and
Applications (Física de Estado sólido Elemental: Principios y aplicaciones)",Addison-Wesley,1975,QC176 O53 1975
3541,"Mott, N.","Amorphous and liquid semiconductors
(Semiconductores amorfos y líquidos)",North-Holland,1970,BF455 L54 1970
3542,"Saldivar, G.",Historia compendida de Tamaulipas,"Gobierno del Edo. De
Tamaulipas",2010,F1356 S35 2010
3543,"Guzmán Rodríguez, J. R.","La expedición de Xavier Mina de Inglaterra a Soto la
Marina","Gobierno del Edo. De
Tamaulipas",2010,F1232.M6855 G89 2010
3544,"Guerra García, J.","Apuntes históricos de la Revolución Constitucional en
Tamaulipas","Gobierno del Edo. De
Tamaulipas",2010,F1356 G79 2010
3545,"Seitz, F. & D. Turnbull",Solid State Physics: Advances in Research and Applicatións Volume 2 (Física del Estado Sólido: Avances en Investigación y Aplicaciones Vol. II),Academic Press,1956,QC176 S643 1956 V.2
3546,"Akhiezer, A. I., V. G. Bar'y Akhtar & S. V.
PeletminsKII",Spin waves (Ondas de spin),North-Holland,1968,QC762 CUTTER 1968
3547,Instituto Electoral del Estado de México,Código electoral del Estado de México 2011,IEEM,2011,KGF7538.8A291995 A52 2011
3548,"Burnet, M.",El mamífero dominante: La biología del destino humano,Alianza,1973,QE331 B86 1973
3549,"Carmen Pardo, M. del (Comp)",Administración pública mexicana del siglo XX Vol. III,Siglo XXI,2010,JF1355 A36 2010
3550,"Ferrajoli, L. & M. Carbonell",Igualdad y diferencia de género,Consejo Nacional para Prevenir Discriminación,2007,KGF3008 F47 2007
3551,"H. Cisneros, I. & M. S. Cisternas Reyes","Derecho, democracia y no discriminación",Consejo Nacional para Prevenir Discriminación,2007,KGF3008 CUTTER 2008
3552,"Fuente, B. de la","Obras: Tomo 4; El arte Olmeca parte 4 Escultura
monumental Olmeca",El colegio Nacional,2006,F1219.3E8 F83 2006
3553,"Stevenson, R. & M. A. Whitehead",Many. Electron Systems: Properties and Interactions (Sistemas Many.Electron: Propiedades e Interacciones),"Fraga, S. & G. Malli",1968,QC721 F7 1968
3554,"Ferrer, A.",Hechos y ficciones de la globalización:Aregntina en el Mercosur en el sistema internacional,Fondo de cultura económica,2000,HF3388.B8 F47 2000
3555,"Hopenhsyn, M. & E. Ottone","El gran eslabon: Educación y desarrollo en el umbral del
siglo XXI","Fondo de cultura
económica",2000,LA541 H66 2000
3556,"Seitz, F. & D. Turnbull",Solid State Physics: Advances in Research and Applicatións Volume 1 (Física del Estado Sólido: Avances en Investigación y Aplicaciones Vol. I),Academic Press,1955,QC176 S643 1955 V.1
3557,"Seitz, F. & D. Turnbull",Solid State Physics: Advances in Research and Applicatións Volume 3 (Física del Estado Sólido: Avances en Investigación y Aplicaciones Vol. III),Academic Press,1956,QC176 S643 1956 V.3
3558,"Seitz, F. & D. Turnbull",Solid State Physics: Advances in Research and Applicatións Volume 14 (Física del Estado Sólido: Avances en Investigación y Aplicaciones Vol. XIV),Academic Press,1963,QC176 S643 1963 V.14
3559,"Richtmyer, F. K., E. H. Kennard & T. Lauritsen","Introduction to modern physics (Introducción a la física
moderna)",McGraw-Hill Book,1955,QC21 R49 1955
3560,"Borowitz, S. & A. Beiser",Essentials of physics a text for students of science and engineering (Elementos esenciales de la física de un texto para estudiantes de ciencia e ingeniería),Addison-Wesley,1966,QC21 B66 1966
3561,"Gürlebeck, K. & W. Sprössig",Quaternionic and Clifford Calculus for Physicists and engineers (Cálculo de físicos e ingenieros),John Wiley & Sons,1997,QA196 G873 1997
3562,"Cullity, B. D.","introduction to magnetic materials (introducción a los
materiales magnéticos)",Addison-Wesley,1972,QC753.2 C85 1972
3563,"Severini, P.",La gestión de la basura en las grandes ciudades,UNAM,1995,TD791 S48 1995
3564,Instituto Nacional de Ciencias Penales,ABC del nuevo sistema de justicia penal en México,INCP,2010,HV9955.M49 A33 2010
3565,"Fermi, E.","Notes on Quantum Mechanics (Notas sobre la Mecánica
Cuántica)",University of Chicago,1961,QC174 F47 1961
3566,"Farrow, R. F. C., B. Dieny, M. Donath, A. Fert & B. D: Hermsmeier",Magnetism and Structure in Systems of Reduced Dimension (Magnetismo y estructura de los Sistemas de reducida dimensión),Plenum Press,1993,QC176.9M84 M45
3567,"Conde Bonfil, C.","¿Pueden ahorrar los pobres? ONG y Proyectos
gubernamentales en México",La colmena milenaria,2000,HC79.S3 C65 2000
3568,"Salinas de Gortari, C.",México un paso difícil a la modernidad,Plaza & Janes,2000,F1236 S335 2000
3569,"Kreisler, L., M. Fain & M. Soulé","El niño y su cuerpo: Estudios sobre la clínica
psicosomática de la infancia",Amorrortu,1990,RJ47.5 K73 2006
3570,"Rattner, J.",Psicología y psicopatología de la vida amorosa,SIGLO XXI,1994,BF692 R38 1994
3571,"Lurcat, L.",El niño y el espacio: La función del cuerpo,"Fondo de cultura
económica",1979,BF723.S63 L87 1979
3572,"Salazar Urgarte, P.",La laicidad: Antídoto contra la discriminación,Consejo Nacional para Prevenir Discriminación,2007,BL2747.8 S35 2007
3573,"Goldis G., F.",Energeticos,Tipográfia Azteca,1979,T45 G63 1979
