id,autor,titulo,editorial,anio,clasificacion
1,"Hernández Sampieri, R., C. Fernández Collado y P.
Baptista Lucio",Metodología de la investigacion,McGraw-Hill/Interamerica,2003,AZ 105 H47 2003
2,"CARTER Alexander , ARVID J. Burke","Métodos de investigacion : Con modelos tomados de la
literatura pedagogica",Unión panamericana,1962,Z711.A4318 1962
3,"LOPEZ CANO, Jose Luis",Métodos e hipótesis científicos,Trillas,1978,Q175 L6632 1978
4,"ARIAS GALICIA, Fernando","Lecturas para el curso de Metodología de la
investigacion",Trillas,1980,Q1805 L43  1980
5,"MAQUEDO, Ana María",Redacción,Limusa,1993,PN145 M37 1993
6,"BOSCH GARCIA, Carlos",La tecnica de investigacion documental,Trillas,1990,Q180A1B62 1990
7,"Cázares Hernández, L., M. Christen, E. Jaramillo Levi, L. Villaseñor Roca & L. E. Zamudio Rodríguez",Técnicas actuales de investigación documentación,"Trillas, UAM",1990,Q181.A1 T41 1990
8,"SJBERG, Gideon, NETT, Roger",Metodología de la investigacion social,Trillas,1980,H62 S452 1980
9,"MÜCH  GALINDO, Lourdes , ANGELES, Ernesto",Métodos y técnicas de investigación,Trillas,1990,Q1802M85 1990
10,"BAENA, Gillermina",Instrumentos de la investigación,"Editores mexicanos
unidos",1981,Q180.A1 B333 1981
11,"DE LA TORRE  VILLAR, Ernesto, NAVARRO DE
ANDA, Ramiro",Metodología de la investigación,Mc Graw Hill,[199-],Z1001 T67 1998
12,"GHIGLIONE, Rodolfo, MATALON, Benjamín",Las encuestas sociológicas: teoría y practica,Trillas,1989,HA29 G4518 1989
13,"ALVAREZ-GAYOU JURGENSON,  Juan Luis","Cómo hacer una investigación cualitativa: fundamentos
y metodología",Paidós,2004,Q180.A1 A555 2004
14,"SABINO A., Carlos",Cómo hacer una tesis y elaborar todo tipo de escritos,Lumen,1998,LB2369 S335 1998
15,"ORNA, Elisabeth, STEVENS, Graham",Cómo usar la informacion en trabajos de investigación,Gedisa,2000,T58.64 O7518 2000
16,"Tamayo y Tamayo, M.",El proceso de la investigación científica,Limusa,2004,Q180.55M4 T34 2004
17,"ANDER-EGG, Ezequiel",Cómo organizar el trabajo de investigacion,Argentina: Lumen,2000,H62 A477 2000
18,"GARCIA DEANTES, Elia","El periódico mural : manual de apoyo para las materias, actividades para escolares y didáctica general",Trillas,2002,LB1043.58 G37  2002
19,"HERROZ LEON, Gustavo",El arte de aprender a estudiar,Trillas,1991,LB1049 H47 1991
20,"JIMENEZ-OTTALENGO, Regina,  MORENO VALLE,
Lucina",Sociología de la educación,Trillas,2003,LC189 J57 2003
21,"ELEXPURU ALBIZURRI, Itziar, MEDRANO
SAMANIEGO, Concepción, dir.",Desarrollo de los valores en las instituciones educativas,"Bilbao : Ministerio de Educacion, Cultura y Deporte, Secretaria General Técnica",2001,LC272 D47 2001
22,"Bolles, R. C.",Test Psicológicos,Prentice Hall,1998,BF431 .A52218 1998
23,"WOOLFOLK, Anita",Psicología Educativas,Prentice Hall,1999,LB1051 W6618 1999
24,"ROMAN PEREZ, Martiniano,  DIEZ LOPEZ, Eloísa",Aprendizaje y curriculum,España: EOS,1999,LB1028.38 R648 1999
25,CARLOS H. WEISS,Investigacion evaluativa : métodos para determinar la eficiencia de los programas de accion,Trillas,1992,LB1027 W44  1992
26,"DIJOU, Sidney W.,  RAYEK, Ely",Análisis conductual aplicado a la instrucción,Trillas,1985,LB1051 B4515  1985
27,"MENDOZA NUÑEZ, Alejandro",La técnica de la tormenta de ideas y la creatividad en la educación como estrategia didáctica,Trillas,1998,LB1027.43 M45 1998
28,"SANTILLANA GONZÁLEZ, Juan Ramón",Auditoria Fundamentos,Thomson,2004,HF5667 S3595 2004
29,"HUSENMAN, Samuel","Introducción a la dinamica de grupo : el grupo t como
herramienta de laboratorio",Trillas,1987,HF5548.8 H87 1987
30,"CAMPBELL, W. J","Scholars in context : the affects of environments en
learning",Sydney : J. Wiley,1970,LC191 C34 1970
31,"BATALLA, Ma. Agustina MENDEZ RAMIREZ,
Humberto","Didáctica de las ciencias biologicas: anatomía, fisiología
e higiene",OASIS,1969,QH315 M42 1969
32,"CHINOY, Ely",La sociedad: una introducción a la sociología,"Fondo de Cultura
Economica",1966,HM51 C49 1966
33,"TAKAYANAGUIG AXEL, Didriksson","La universidad del futuro : un estudio sobre las relaciones entre la educacion superior, la ciencia y la tecnologia en estados unidos de norteamerica, japon, suecia y mexico","UNAM, Centro de Investigaciones y Servicios Educativos : UNAM, Direccion General de Apoyo al Personal Academico",1993,LB1028.3 .D52 1993
34,"BROWN, William F.",Guia de estudio efectivo,Trillas,"1975.
11
reimp. 1986",LB1049 B764 1989
35,"Gross, R. D.",La psicología ciencia de la mente y la conducta,Manual moderno,1994,BF121 G7718 1994
36,"SOLANO FLORES, Guillermo",Principios de analisis estructural educativo : metodologia y tecnicas para la educacion,Trillas,"1989
reimp. 1994",LB1570 S62 1994
37,"VEGA, Alfonso, [et. al]",Métodos de investigación II,Formación de Investigadores Jovenes,1993,Q181 A2 M48 1993
38,"SOMMER, Bobbe, MALTZ, Maxwell",Psico-cibernetica 2000,Prentice Hall,1998,BF637.S8 M34 1998
39,"FIERRO, Alfredo",Personalidad : sistema de conductas,Trillas,1983,BF76.7 M47  1983
40,,Escuelas y carreras : sistema nacional de educacion tecnologica : Catalogo 202-2003,Subsecretaria de Educacion e Investigacion Tecnologicas : Consejo del Sistema Nacional de Educacion Tecnologica,2003,T78 E73 2003
41,"GELDARD, Frank Arthur",Fundamentos de psicología,Trillas,1990,BF121 K415 1990
42,"MATLIN, Margaret W.",Sensación y percepción,Prentice Hall,1996,BF311 M37518 1996
43,"GIBSON, Janice T.",Psicologia educativa : Texto programado,Trillas,1974,LB1051 G523 1974
44,"ANTONS, Klaus",Práctica de la dinámica de grupos : ejercicios y técnica,Herder,1990,HM131 A58 1990
45,"DRYDEN, Gordon","La revolucion del aprendizaje : para cambiar la forma de
aprender en el mundo",Grupo Editorial Tomo,2002,BF318 .D7918 2002
46,"TROTTER, Monica","Aprendizaje inteligente : optimice su potencial
intelectual",Alfaomega,c2002,LB1062.6 T78 2002
47,"FLORES VELAZCO, Marco Hernán",Creatividad y educación,Alfaomega,2004,LB1062 F55 2004
48,"BATLORI AGUILA,  Jorge",Gimnasia mental,Alfaomega ; Narcea,c2001,LB1029.G3 B38 2001
49,"ANTUNES, Celso","Las inteligencias múltiples : como estimularlas y
desarrollarlas",Alfaomega ; Narcea,c2002,BF431 A5918 2002
50,"SAMBRANO, Jazmin",Mapas mentales : agenda para el éxito,Alfaomega,2000,BF318 .S26  2000
51,"SAMBRANO, Jazmin",Superaprendizaje : transpersonal,Alfaomega,c2000,LB1060 S354 2000
52,"FRY, Ronald W.",Cómo estudiar mejor,Alfaomega,2002,LB1049 F7918 2002
53,"Diaz Vega, Jose Luis",Aprende a estudiar con éxito,Trillas,1990,LB1049 .D52 1990
54,"SAMBRANO, Jazmin","El placer de aprender a aprender : superaprendizaje
para todos",Alfaomega,2002,LB1060 S353 2002
55,"ESTEVEZ  NENNINGER, Etty Haydee",Enseñar a aprender : estrategias cognitivas,,2002,LB1051 E795 2002
56,"Resnick, Lauren B.","La enseñanza de las matemáticas y sus fundamentos
psicológicos",México : Paidós,1990,QA11 R4718 1990
57,"DIAZ BARRIGA, Ángel","Didáctica y curriculum : convergencias en los programas
de estudio",Paidós,1997,LB1570 D53 1997
58,"STUFFLEBEAM, Daniel L.",Evaluación sistemática : guia teorica y practica,"Madrid : Ministerio de educacion y ciencia, centro de publicaciones",1987,H62 S7918 1987
59,"COVEY, Sean",Los 7 Hábitos de los adolescentes altamente efectivos,Debolsillo,2006,BJ1661 C6818 2006
60,"GIBB, Jack R.",Manual de dinámica de grupos,Argenmtina: Humanitas,1996,HM131 G4518 1996
61,"STEPHENSON, Joan, comp.",Los valores en la educación,Gedisa,2001,LC268 V3518   2001
62,"ALLEN, David, comp.","La evaluación del aprendizaje de los estudiantes : una herramienta para el desarrollo profesional de los
docentes",Mexico : Paidós,c2000,LB3051 E82518 2000
63,"RODRIGUEZ, Santiago","Creatividad en marketing directo : ""si he aprendido yo,
como no vas a aprender tu""",Bilbao: Deusto,c 2000,HF5415.126 R63 2000
64,"Fischer de la Vega, L",Mercadotecnia,McGraw-Hill,2004,HF5415 F57 2004
65,"STANTON, William J",Fundamentos de marketing,"McGraw-Hill
Interamericana",2000,HF5415 S7318 2000
66,"Kerin, R. A., S. W. Hartley, & W. Rudelius",Marketing,"McGraw-Hill
Interamericana",2004,HF5415 M3618 2004
67,"Kotler, P.",Marketing,Pearson Educacion,2001,HF5415 K6735 2001
68,"ZIKMUND, William G.",Investigacion de mercados,"Prentice-Hall
Hispanoamerica",c1998,HF5415.2 Z5518 1998
69,"STANTON, William J","Ejercicios en Internet: suplemento de la obra
Fundamentos de Marketing","McGraw-Hill,",c1997,HF5415 S73418 1997
70,"CORDERO RAMÍREZ, Javier",Breve curso de marketing para mercado abierto,Trillas,1993,HF5415.12M47 B74 1993
71,"EYSSAUTIER DE LA MORA, Maurice",Elementos básicos de mercadotecnia,Trillas,1987,HF5415 E97 1987
72,"KOTLER, Philip",Fundamentos de mercadotecnia,"Prentice Hall
Hispanoamericana",c1998,HF5415 K67618 1998
73,"SHAVER, Dick",El siguiente paso en mercadotecnia directa : como usar bases de datos orientandolas al consumidor,Prentice Hall,c1998,HF5415.126 S4218 1998
74,"FRYE, Robert W.",Estrategias básicas de mercadotecnia,Trillas,1982,HF5415 F7918 1982
75,"BERENYI, Laszlo",Variables psicológicas en la mercadotecnia,Trillas,1986,HF5415.2 B47 1986
76,"REYES ARTIGAS, Juan Sergio",Mercadotecnia industrial,Trillas,1988,HF5415 .R49 1988
77,"FRANK, Ronald Edward",Análisis de mercados : técnicas cuantitativas,Trillas,1969,HF5415 F73  1969
78,"KOTLER, Philip",Mercadotecnia para hoteleria y turismo,Prentice Hall,1997,TX911.3M3 K6718 1997
79,"TAYLOR, Weldon Johnson",Mercadotecnia : Un enfoque integrador,Trillas,1973,HF5415 T38 1973
80,"FRISCH PHILIPP, Walter",La competencia desleal,Trillas,1975,KGF1675 .F74 1975
81,"TROUT, Jack","Grandes marcas, grandes dificultades",McGrawHill,2001,HD69.B7T7618 2001
82,"PEDRET, Ramon",Herramientas para segmentar mercados y posicionar productos : analisis de informacion cuantitativa en investigacion comercial,Deusto,2000,HF5415.15 P4 2000
83,"MCDANIEL, Carl D.",Investigación de mercados contemporanea,International Thomson,1999,HF5415.2 M3318 1999
84,"SANDHUSEN, Richard L.",Mercadotecnia internacional,Grupo Patria Cultural : Compañia Editorial Continental,2002,HF1009.5 S3518 2002
85,"RIES, Al",La guerra de la mercadotecnia,McGraw-Hill,c1987,HF5415 R5418 1987
86,"TERPSTRA, Vern",Introducción a la mercadotecnia internacional,International Thomson,c2000,HF1416 T4718 2000
87,"LERMA KIRCHNER, A. E.",Guía para el desarrollo de productos : un enfoque global,International Thomson,c2001,HF5415.15 L475 2001
88,"CHURCHILL, Gilbert A.",Investigación de mercados,Thomson,2003,HF5415.2 C48518 2003
89,"KOTLER, Philip",Dirección de marketing,Pearson Educacion,2001,HF5415.13 K6718 2001
90,"RUMBAUGH, James",Modelado y diseño orientado a objetos,Prentice Hall,c1997,QA76.64 O35218 1997
91,"BARNES, Lisa-Ann L.",Estrategias cliente/servidor para el siglo XXI,Prentice Hall,c1998,QA76.9C55 B3818 1997
92,"FRANKLIN, Reece A.",Promoción y publicidad : guia para el asesor empresarial,Prentice Hall,c1998,HF5415 F73418 1998
93,"SUSSMAN, Jeffrey",El poder de la promoción,Prentice Hall,c1998,HF5415 S8718 1998
94,"CARRILLO  MATEO,  Evaristo",Dinamizar textos,Alhambra Longman,1995,PN145 D55 1995
95,"SMITH, Jeanette",Nuevo kit de publicidad,"Prentice Hall
Hispanoamericana",c1999,HD59 S54818 1999
96,"RUSSELL, Thomas",Kleppner : publicidad,Pearson Educacion,2001,HF5823 K5418 2001
97,"WILIAMS WELLS, Jhon Burnett",Publicidad : principios y practicas,Prentice Hall,c1996,HF5823 P8418 1996
98,"O'GUINN, Thomas C.",Publicidad y comunicación integral de marca,Thomson,c2004,HF5821 O4818 2004
99,"SOLOMON, Michael R.","Comportamiento del consumidor : comprar, tener y ser",Prentice Hall,1997,HF5415.32 S6518 1997
100,"LAMBING, Peggy A.",Empresarios pequeños y medianos,Prentice Hall,c1998,HB615 L3518 1998
101,"JACKSON, Harry K.","Logrando la ventaja competitiva : una guía hacia la
calidad de clase mundial","Prentice Hall
Hispanoamericana",c1998,HD31 J33518 1998
102,"ROTH, Charles B",Los secretos del cierre de ventas,Prentice Hall,c1998,HF5438.25 R6718 1998
103,"LEWISON, Dale M.",Ventas al detalle,"Prentice Hall
Hispanoamericana",c1999,HF5429 L48518 1999
104,"MANNING, Gerald L.",Las ventas en el mundo actual,Prentice Hall,1997,HF5438.25 M3218 1997
105,"LOUDON, David L.","Comportamiento del consumidor : conceptos y
aplicaciones","McGraw-Hill,",1995,HF5415.32 L6818 1995
106,"Senge, P.","La quinta disciplina : como impulsar el aprendizaje en la
organizacion inteligente",Granica,1997,HD58.9 S4518 1997
107,"WELSCH, G. A., R. W. Hilton & P. N. Gordon",Presupuestos : Planificación y control de utilidades,"Prentice Hall
Hispanoamericana",1990,HF5500 W443 1990
108,"Masaaki, I.",kaizen . La clave de la ventaja competitiva japonesa,Continental,1992,HD70.J3 I5318 2006
109,"Flores de Gortari, S. & Orozco Gutiérrez E.",Hacia una comunicación administrativa integral,Trillas,1973,HE1621 F56 1973
110,"ARIAS GALICIA, Fernando",Introducción a la técnica de investigacion en ciencias de la administracion y del comportamiento,Trillas,1974,H62 A74 1974 T.1
111,"ROBBINS, Stephen P.","Fundamentos de administración : conceptos esenciales
y aplicaciones",Prentice Hall,1996,HD31 R63218 1996
112,"HEINICH, Robert",Tecnología y administración de la ensenanza,Trillas,1975,LB1027 H442 1975
113,"HARTLEY, Robert F.",Administración de ventas,Trillas,c2000,HF5438.4 .H3718 2000
114,"KOONTZ, Harold",Administración : Una perspectiva global,"McGraw-Hill
Interamericana,",c2004,HD31 W435718 2004
115,"Rodríguez Valencia, J.",Sinopsis de auditoria administrativa,Trillas,1990,HF5667 R62 1990
116,"Barajas Medina, J.",Curso introductorio a la administración,Trillas,1986,HD37 B345 1986
117,"BOCCHINO, William A.","Sistemas de información para la administracion :
técnicas e instrumentos",Trillas,1985,HF5548.2 B62 1985
118,"RIOS SZALAY, Adalberto",Origenes y perspectivas de la administración,Trillas,c1977,HD37 R54 1977
119,"Münch Galindo, L.",Fundamentos de administracion : casos y practicas,Trillas,1997,HD37.E76 M843 1997
120,"KOONTZ, Harold",Elementos de administración,McGraw-Hill,c1988,HD37 K65 1988
121,"YOXON, Mark",Administración ambiental efactiva en una semana,Grijalbo,1998,HD30.255 Y6918 1998
122,"FIEDLER, Fred Edward",Liderazgo y administracion efectiva,Trillas,1985,HM141 F5418 1985
123,"ACLE TOMASINI, Alfredo",Planeación estrategica y control total de calidad,Grijalbo,[c1990],HD30.28 .A24 1990
124,"Münch Galindo, L.",Fundamentos de administración,Trillas,1990,HD37.E76 M84 1990
125,"Chiavenato, I.",Administración de recursos humanos,"McGraw-Hill
Interamericana",2000,HF5549 C456 2000
126,"FLORES OCHOA,  Rafael",Evaluacion padagogica y cognicion,McGraw-Hill,1999,LB3051F56 1999
127,"Fuente Ibarra, R. de la","Administración e informatica : la cibernetica
administrativa","Ediciones contables y
administrativos",1985,QA76.9 A35 F84 1985
128,"REYES PONCE, Agustín",Administración de empresas: teoría y práctica,Continental,1982,HD37 R452 1982
129,"LE BRETON, Preston P",Administración general: planeacion y ejecucion,"Fondo de Cultura
Economica",1965,HF5500 L42 1965
130,"GONZALES CASANOVA, Pablo",La Universidad Necesaria en el Siglo xxl,Era,2001,LA428 G655  2001
131,"GARCÍA-CAEIRO, Ignasi",Expresión oral,Alhambra,1986,PN4145 E86 1986
132,"VEGA SOSA, Alicia",Administración,UNITEC,C1998,HD31 V44 1998
133,"ROMERO BETANCOURTT, Samuel","Principios fundamentales de administración de
empresas",Limusa,1980,HD31 R64 1980
134,"RUE, Leslie W.",Administración : teoría y aplicaciones,Representaciones y servicios de ingeniería,c1985,HF5549 R8418 1985
135,"FERNÁNDEZ ARENA, Jose Antonio",El proceso administrativo,Herrero,1970,HD31 F43 1970
136,"REYES PONCE, Agustin",Administración de empresas : teoria y práctica,Limusa,2001,HD37 R49 2001
137,"HERBER J. CHRUDER, ARTHUR W. SHERMAN",Administración de personal,CONTINENTAL,1977,HF5549 C46 1977
138,"Martínez Velasco, [et. Al.]",Comunicación organizacional práctica: Manual gerencial,Trillas,1988,HF5549.5C6 C65 1988
139,"HERNÁNDEZ RODRÍGUEZ, Sergio",Fundamentos de administración,McGraw-Hill,c1992,HD30 H47 1992
140,"REYES PONCE, Agustin",Administración por objetivos,Limusa,c1982,HF5500.R49 .A35 1982
141,"Reyes Ponce, A.",Administración de personal : sueldos y salarios,Limusa,1995,HF5549.5.C67 .R49 1995
142,"ARIAS GALICIA, Fernando, [et. al}","Administración de recursos humanos : para el alto
desempeño",Trillas,1999,HF5549 A8975 1999
143,"Reyes Ponce, A.",Administración de personal : relaciones humanas,Limusa,1994,HF5549 R496 1994
144,"BOWLES, Kenneth L.",Problem Solving Using Pascal,Springer-Verlang,1979,QA76.73 P2 B68 1979
145,"GOETSCH, David L.","Administración de la seguridad total : seguridad, salud y competitividad en el mercado mundial","Prentice Hall Hispanoamericana,",1998,T55 G6318 1998
146,"RODIL URREGO, Florencio",Conceptos fundamentales sobre la organizacion,Trillas,1979,HM131 R616 1979
147,"JOHNSON, Robert Willard",Administración financiera,"Continental,",1980,HG153 J6318 1980
148,"PERDOMO MORENO, Abraham",Administración financiera de inventarios,CECSA,1993,HF5681.S8 P47 1993
149,"RIOS SZLAY, Jorge","Relaciones públicas : su administración en las
organizaciones",Trillas,1989,HM263 R6 1989
150,"ZAPICO MEDINA, Ramon",Los pecados del ejecutivo,Trillas,1993,HD70.A53 Z36 1993
151,"FINCH, Frank",Enciclopedia concisa de técnicas administrativas,Trillas,1993,HD30.15 F5513 1993
152,MONTAÑO Agustin,"Interpretación dinámica de los estados financieros :
nueva tecnica presupuestal",Trillas,2003,HF5681 B2 M66 2003
153,"Everette, E. A., J. C. Hershauer y W. A. Ruch","Productividad y calidad : Su medicion como base del
mejoramiento",Trillas,1985,HF5686.P86 A3318 1985
154,"DAVIS, Keith,",Comportamiento humano en el trabajo,"McGraw-Hill
Interamericana",c2003,HD58.7 D37 2003
155,"MULLER DE LA LAMA, Enrique",Dirección de relaciones laborales,Trillas,1990,HD6961 M85 1990
156,"LARIS CASILLAS, Francisco Javier",Estrategias para la planeación y el control empresarial,Trillas,1985,HF5550 L37 1985
157,"FERRER PÉREZ, Luis",Guía practica de desarrollo organizacional,Trillas,1976,HD38 F46 1976
158,"GARCÍA CANTÚ, Alfonso","Enfoques prácticos para la planeacion y control de
inventarios",Trillas,2000,HF5681.S8 G36 2000
159,"BUFFA, Elwood Spencer","Sistemas de producción e inventario ; planeacion y
control",Limusa,1975,TS155 B85 2000
160,"CERDA BENÍTEZ, Adriana",Prontuario de comercio internacional,Trillas,2000,HF1379 C47 2001
161,"Nell, Edward J.","Demanda efectiva, precios y salarios",Trillas,1983,HJ7481 N44 1983
162,"STERN, Louis W.",Canales de comercialización,Prentice Hall,1998,HF415.125 S7618 1998
163,"Heizer, Jay; Render Barry",Dirección de la producción: decisiones tácticas,Prentice Hall,1997,TS155 H45118 1997
164,"Heizer, Jay; Render Barry",Dirección de la producción:  decisiones estratégicas,Prentice Hall,1997,TS155 H4518 1997
165,"TUSMAN, Michael L.",Innovación,Prentice Hall,1998,HD45 T87 1998
166,"Coulter, M. y S. P. Robbins",Administración,MC. GRAW HILL,,HD31 R629918 2000
167,"MARCH, James G.",Teoría de la organización,Trillas,c1961,HD31 M3 1961
168,"LIKERT, Rensis","Nuevas formas para solucionar conflictos: empresas, instituciones educativas, organismos gunernamentales, grupos comunitarios",Trillas,1986,HD38 L4918 1986
169,"IBARRA, Eduardo",Mito y poder de las organizaciones,Trillas,1987,HD58.7 I33 1987
170,"RUIZ DUEÑAS, Jorge","Eficacia y eficiencia de la empresa publica mexicana :
Análisis de una década",Trillas,1982,HJ9741.E8 R85 1982
171,Oficina Internacional del Trabajo,La remuneración por rendimiento,Alfaomega,c1991,HD4920.B6 R44 1991
172,"TURCOTTE, Pierre R.",Calidad de vida en el trabajo,Trillas,1982,HD6955 T8718 1982
173,ELWOOD S. Buffa,Administración y direccioón Técnica de la Producción,Noriega,1991,TS155B833 1991
174,"DIEZ DE CASTRO, Emilo Pablo",Administración y dirección,McGraw-Hill,2001,HD37.S6 A35 2001
175,"WERTHER, William B.",Administración de personal y recursos humanos,McGraw-Hill,2000,HF5549 W4718 2000
176,"HOPEMAN, Richard J.","Producción: conceptos, análisis y control",CECSA,1973,TS155 H653 1973
177,"REYES PONCE, Agustin",Administración moderna,LIMUSA,2003,HD37 R4521 2003
178,"NOORI, Hamid",Administración de operaciones  y producción: calidad total y repuesta sensible rápida,McGraw-Hill,1997,TS155 N6618 1997
179,"LARIS CASILLAS, Franscisco Javier",Administración integral,CECSA,1977,HF5686.C7 L316 1977
180,ANTHONI P. RAIA,Administración por objetivos,Trillas,1989,HD38 R2918 1989
181,"CHASE, Richard B.","Administración de producción y operaciones :
manufactura y servicios","McGraw-Hill
Interamericana",C2000,TS155 C43318 2000
182,"CÁRDENAS, Agustín J.","Administración con el método japonés = japanese
administration technique",CECSA,1993,HD30.28 C37 1993
183,"BUFFA, Elwood Spencer",Administración de la producción y operaciones,Limusa,2000,TS155 .B83218 2000
184,"MEREDITH, Jack R.",Administración de operaciones: Un énfasis conceptual,Limusa,2000,TS155 .M4718 2000
185,"BARRAGÁN, José N.",Administración de las pequeñas y medianas empresas,Trillas,2002,HD62.7 A35 2002
186,"SEXTON, William P.",Teorías de organización,Trillas,1977,HD31 S47 1977
187,"VILLAREAL, René","La empresa competitiva sustentable en la era del capital
intelectual",McGraw Hill,2003,HD41.V54 2003
188,"ANTHONY, Robert N.",Sistema de control de gestión,McGraw Hill,c2003,HD31 A57818 2003
189,"FERRER PÉREZ, Luis",Desarrollo organizacional,Trillas,2002,HD58.8 .F472 2002
190,"LOUGOVOY, Linon",Relaciones públicas,EDITIA MEXICANA,1983,HD59 L67 1978
191,"KATZENBANCH, Jon R.",El trabajo en equipo,"España: ediciones
Granica",2000,HD66 W6818 2000
192,ERNESTO R. FONTAINE,Teoría de los precios,"Alfaomega,",1999,HB221 F65 1999
193,"Maxim, Paul S.",Métodos cuantitativos aplicados a las ciencias sociales,Universidad de Oxford,2002,HA29 M39418 2002
194,"GEORGE, Claude S.",Historia del pensamiento administrativo,Prentice Hall,1974,HD38 G455 1974
195,"Chiavenato, I.",Gestión del talento humano,"McGraw-
Hill/Interamericana",2002,HF5549 C456318 2002
196,"RODRÍGUEZ VALENCIA, Joaquín",Introducción a  la Administración con enfoque a sistemas,Ediciones contables y administrativas y fiscales,1989,HD37 R57 1998
197,"GRINBLATT, Mark",Mercados financieros y estrategia empresarial,Mc Graw Hill,2003,HG181 G7518 2003
198,"Simon, Raymond 1915-",Relaciones públicas: teoría y práctica,Limusa,1990,HM263 S5.418 1990
199,"BUFFA, Elwood Spencer",Dirección de operaciones,Limusa,1991,TS155 B8318 1991
200,JOSÉ IGNACIO MOJICA P.,Toma de decisiones a través de métodos cuantitativos,Trillas,2002,QA279.4 M65 2002
201,"Commarmond, Gisele",Cómo fijar objetivos y evaluar resultados,DEUSTO,1999,HD30 .65 C6 1999
202,AFFSON. Higor H.,La dirección estratégica en la práctica empresarial,Pearson Educacion,1998,HD31 A57718 1998
203,"Von Bleicken, Bleick",Manual para el adiestramiento del personal : Una guía para el adiestramiento de los dirigentes del trabajo,Herreros Hermanos,1960,HF5549.5 T7B6 1960
204,BENJAMÍN FRANKLIN,"Recursos : A directory of mexican-american institutions, organizations, and university programs based in the united states of america",Biblioteca Benjamín Franklin,1999,E184.M5 H47 1999
205,EVERETT E ACAM JR.,Administración de opereciones de la producción,Pearson education,1991,TS155 A2318 1991
206,"Franklin Fincowsky, Enrique Benjamin","Organizacion de empresas : analisis, diseño y estructura","McGraw-
Hill/Interamericana",2002,HF5500.2 F73 1998
207,"Hellriegel, D., J. W. Slocum y R. W. Woodman",Comportamiento organizacional,"International Thomson,",1999,HD58.7 H4518  1999
208,"Van Horne, James C.",Fundamentos de administracion financiera,Prentice Hall,2002,HG4011 V364 2002
209,"Rodriguez Valencia, Joaquin",Como elaborar y usar los manuales administrativos,ECAFSA,2002,HD30.17 R63 2002
210,,Código de ética del licenciado en administración,ECAFSA,2000,HD30.42M49 F43 2000
211,"Longenecker, Justin Gooderl,","Administracion de pequeñas empresas : un enfoque
emprendedor",Thomson,2001,HD69.S6 L6518 2001
212,"GAITHER, Norman",Administraciòn de producciòn  de operaciones,Thomson,2000,TS155 G3518 2000
213,"ULRICH, Dave",Evaluación de resultados,GRANICA,2000,HF5549 D4518 2000
214,"RENDER, Barry",Principios de administación de operaciones,THOMSON,2002,TS155 .R4618 2002
215,"BRUE, Greg",Seis sigma para directivos,McGraw Hill,2003,TS156 B7818 2003
216,"CRISTOPHER, Martin",Logística: aspectos estratégicos,Limusa,2002,HD38 .5 L6 2002
217,"MAKRIDAKIS, Spyros",Métodos de pronósticos,Limusa,2000,HD30.27 .M3418 2000
218,"GOLDRATT, Eliyahu M.",La meta: un proceso de mejora continúa,Castillo,2003,PR9510.9G65 .G6318 2003
219,"HELLRIEGEL, Don, [et. al]",Administración: un enfoque basado en competencias,Thomson,2003,HD31 H418 2003
220,"LUSSIER, Robert N.",Liderazgo,Thomson,2003,HD57.7 .L8718 2003
221,JOAQUIN RODRIGUEZ VALENCIA,"Administración de pequeñas y medianas empresas
exportadoras",International Thomson,2001,HD62.7 .R62 2001
222,JOSE NATIVIDAD GLZ. PARAS,La organización  de la administración pública de México,Instituto     Nacional     de administración pública,2001,JL1231 O73 2001
223,JOAQUIN RODRIGUEZ VALENCIA,Introducción a la administración con enfoque de sistema,International Thomson,2003,HD37.S6 .R62 2003
224,ROGER  G. SCHROEDER,"Admnistración de operaciones: Toma de decisiones en
la función de operacione",McGrawHill,1992,TS155 .S3618 1992
225,GEIGER A. STEINER,"Planeación estratégica,  lo que todo director debe saber",Patria Cultural,2000,HD30.28 .S7318 2000
226,"MARTIN, James","Métodos orientados a objetos: consideraciones
prácticas",Prentice Hall,1997,QA76.9.O35 .M37218 1997
227,"MARTIN, James","Métodos orientados a objetos: conceptos
fundamentales",Prentice Hall,1997,QA76.9.O35 .M3718 1997
228,"COLLERETTE, Pierre",La planificación del cambio,Trillas,1988,HD58.8 C6518 1988
229,"ANSOFF, DECLERCN, HAYS",El planteamiento estratégico,Trillas,1988,HD29 .A5718 1988
230,"Müller de la Luna, E.",Cultura de calidad de servicio,Trillas,1999,HF5415.5 .M84 1999
231,"GARCIA CANTU, Alfonso","Almacenes: planeación, organización y control",Trillas,1995,HF5485 .G37 1995
232,"STONICH, Pany J.",Base cero planeación y presupuesto,Trillas,1981,HF5550 S7618 1981
233,"FAZIO VENGOA, Hugo",El mundo frente a la globalización,Alfaomega,2002,JZ1318 F39 2002
234,"Thierauf, R. J. & R. A. Grosse","Toma de decisiones  por medio de investigación de
operaciones",Limusa,1983,HD20 T455 1983
235,"CROSBY, Philip B.",Hablemos de calidad,McGrawHill,1990,TS156 Q3 C7618 1990
236,"CERECEDO, Abigaíl Jacob",Administración y calidad,IPN,[199-?],TS156 E83 18 1995
